algo	dataset	seed	fold	fold_number	architecture	param	input	repl	max_coef	C	patience	tr_R2	vd_R2	te_R2
BGN	diabete	20241202	0	0	1	4	0	100	2	4.482269287109375	15	0.3440721932124827	0.46636070581619016	0.28286316254425004
BGN	diabete	20241202	0	0	2	8	1	100	2	1.4301157128613795	15	0.4175137598733214	0.5011831535653257	0.3580643352862949
BGN	diabete	20241202	0	0	3	12	2	100	2	1.525529228570503	15	0.48894324067438966	0.5232133362009814	0.39209842459699495
BGN	diabete	20241202	0	0	4	16	3	100	2	1.2115147050419126	15	0.5332358737907237	0.4766843193546967	0.438424851937936
BGN	diabete	20241202	0	0	5	20	4	100	2	1.6462859983996971	15	0.543649911063042	0.47132508677333973	0.43192552083619196
BGN	diabete	20241202	0	0	6	24	5	100	2	1.248825532469981	15	0.5547282668985848	0.4857278408445572	0.41980221576828514
BGN	diabete	20241202	0	0	7	28	6	100	2	1.3172830905448065	15	0.5918951968987887	0.4892722230212001	0.4395163905788475
BGN	diabete	20241202	0	0	8	32	7	100	2	0.5104260592708179	15	0.6296395197010229	0.42123761412843974	0.42289031074536876
BGN	diabete	20241202	0	0	9	35	8	100	2	0.7078508727456465	15	0.6393119142157826	0.39429567969747803	0.4208698237730194
BGN	diabete	20241202	0	0	10	40	9	100	2	0.662354478126872	15	0.6478363152187718	0.3746002507698828	0.37455767170449616
BGN	diabete	20241202	0	0	11	44	10	100	2	0.24847785113776993	15	0.6558051736256449	0.36802915811372927	0.3465445287697725
BGN	diabete	20241202	0	0	12	48	11	100	2	0.6372208345018375	15	0.6651767934031518	0.37636054866019153	0.3366208997356819
BGN	diabete	20241202	0	0	13	52	12	100	2	0.2538935483006003	15	0.6737856319844391	0.36449706419521366	0.30683489806445763
BGN	diabete	20241202	0	0	14	56	13	100	2	0.4677759866467768	15	0.7039684367404799	0.3406471533958324	0.2791798209293943
BGN	diabete	20241202	0	0	15	59	14	100	2	0.7590386149409718	15	0.7331579563135129	0.27427849089345524	0.30437931452231937
